id,member_id,loan_amnt,funded_amnt,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,loan_is_bad
3296446,4068857,11200,11200,343.89,A,A2,Nokia Siemens Network,10.0,OWN,108000.0,credit_card,Credit Card,750xx,TX,12.52,0,Oct-2002,0,,,9,0,37822,66.2%,21,f,0,,INDIVIDUAL,0,0.0,187717.0,False
3286412,4058853,10000,10000,328.06,B,B2,creative financial group,2.0,MORTGAGE,65000.0,credit_card,my lending club Loan,085xx,NJ,9.58,0,Mar-2000,0,,,9,0,16623,74.2%,11,f,0,,INDIVIDUAL,0,0.0,16623.0,True
3286406,4058848,8000,8000,282.41,C,C4,Techtron Systems,7.0,RENT,35000.0,debt_consolidation,All in One,440xx,OH,27.84,0,Oct-1988,2,,,12,0,17938,72%,17,w,0,,INDIVIDUAL,0,0.0,17938.0,False
3296434,4068843,16000,16000,500.65,A,A4,Bristol Hospital,10.0,MORTGAGE,110000.0,debt_consolidation,Debt consolidation,060xx,CT,28.87,0,Jan-2000,0,,,21,0,23691,75.2%,56,f,0,,INDIVIDUAL,0,0.0,372771.0,False
3286395,4058836,4000,4000,125.17,A,A4,Aspen Skiing Company,10.0,MORTGAGE,155000.0,credit_card,Credit Refi,816xx,CO,17.87,0,Oct-1988,0,,,7,0,43945,95.5%,21,w,0,,INDIVIDUAL,0,0.0,331205.0,False
3239835,3982635,15000,15000,506.21,B,B4,Agua Caliente Casino Resort Spa,10.0,MORTGAGE,65000.0,credit_card,Credit card refinancing,922xx,CA,17.32,0,Jul-1992,2,67.0,,9,0,18455,68.1%,19,f,0,67.0,INDIVIDUAL,0,52.0,23631.0,False
3286385,4058824,8000,8000,258.74,B,B1,Gap Inc.,10.0,RENT,85000.0,debt_consolidation,Just Consolidate,945xx,CA,20.91,1,Jun-1994,0,19.0,,7,0,14746,47.6%,30,f,0,19.0,INDIVIDUAL,0,0.0,59740.0,False
3286235,4058626,19800,19800,530.0,E,E1,US Air Force,10.0,MORTGAGE,75459.0,debt_consolidation,Debt Consolidation,236xx,VA,29.31,0,Jun-1989,1,,,18,0,15946,76.7%,26,f,0,,INDIVIDUAL,0,0.0,333618.0,True
3254624,4026789,4000,4000,144.15,D,D1,,,RENT,22000.0,credit_card,traveltime,757xx,TX,23.29,0,Mar-2002,0,,,9,0,12042,87.3%,14,f,0,,INDIVIDUAL,0,90.0,12042.0,False
3296397,4068801,14400,14400,485.96,B,B4,"Science, Management & Resources",3.0,RENT,81000.0,debt_consolidation,Debt Consol,199xx,DE,20.84,0,Dec-2000,1,,,10,0,32651,81.2%,29,f,0,,INDIVIDUAL,0,0.0,58904.0,False
3296393,4068797,10000,10000,328.06,B,B2,T-Mobile USA,5.0,MORTGAGE,125000.0,debt_consolidation,Credit Card Debt Consolidation,750xx,TX,18.31,0,Dec-1993,1,,,15,0,29123,90.2%,39,f,0,,INDIVIDUAL,0,0.0,206278.0,True
3160942,3873502,6000,6000,224.49,E,E1,CE Safes,1.0,RENT,55000.0,other,Wedding,330xx,FL,8.97,0,Mar-1995,1,,,11,0,13335,57%,13,f,0,,INDIVIDUAL,0,0.0,13335.0,False
3064867,3737070,15250,15250,545.76,C,C5,North Brookfield Public Schools,2.0,RENT,47000.0,debt_consolidation,Loan,021xx,MA,27.14,0,Sep-1998,1,,,11,0,17045,80.4%,20,w,0,,INDIVIDUAL,0,0.0,119629.0,True
3295902,4068212,7200,7200,252.43,C,C3,"State of Florida, Dept of Revenue",6.0,MORTGAGE,35000.0,debt_consolidation,Pay My Debts,320xx,FL,10.05,0,Sep-2000,0,66.0,,11,0,6502,89.1%,22,f,0,,INDIVIDUAL,0,0.0,122662.0,True
3296376,4068778,17000,17000,521.97,A,A2,Traverse City Area Public School,10.0,MORTGAGE,95000.0,debt_consolidation,Capital One Card Loan,496xx,MI,19.3,2,Dec-1998,3,18.0,,11,0,16801,41.7%,27,f,0,,INDIVIDUAL,0,0.0,203808.0,False
3285855,4058175,12000,12000,399.26,B,B3,Norman S Wright Mechanical Equipment,3.0,MORTGAGE,100000.0,debt_consolidation,Credit Card Payoff,900xx,CA,13.56,0,Dec-2004,2,,,10,0,9551,78.9%,15,f,0,,INDIVIDUAL,0,0.0,428720.0,False
3286095,4058462,15000,15000,513.33,B,B5,AMRI Inc.,6.0,RENT,42000.0,credit_card,recovery2013,021xx,MA,24.83,0,Feb-1991,1,66.0,,13,0,31023,80.6%,18,w,0,66.0,INDIVIDUAL,0,0.0,31023.0,False
3296364,4068758,10000,10000,360.38,D,D1,gmri inc,2.0,MORTGAGE,49000.0,debt_consolidation,debt free,750xx,TX,14.2,0,May-2006,1,,,12,0,17161,32.2%,12,w,0,,INDIVIDUAL,0,818.0,23830.0,True
3296362,4068756,8400,8400,287.46,B,B5,State of Oregon,10.0,MORTGAGE,73000.0,credit_card,credit  payoff,972xx,OR,18.85,0,Jul-1991,1,74.0,,19,0,9249,70.6%,61,w,0,,INDIVIDUAL,0,0.0,339768.0,False
3296359,4068752,21850,21850,737.38,B,B4,cvs/pharmarcy,10.0,RENT,50000.0,credit_card,payoff bill,928xx,CA,18.98,0,Mar-2001,0,,,12,0,16564,69.3%,17,w,0,,INDIVIDUAL,0,0.0,30420.0,True
3286320,4058737,12000,12000,399.26,B,B3,,,MORTGAGE,64000.0,credit_card,Credit Card Consolidation,180xx,PA,17.33,0,Nov-1996,0,69.0,,16,0,23825,45.6%,31,w,0,,INDIVIDUAL,0,226.0,143211.0,False
3296339,4068726,8975,8975,294.43,B,B2,Non-profit,5.0,RENT,41000.0,debt_consolidation,Beating Down Debt,021xx,MA,21.98,0,Dec-1999,0,,,12,0,7849,53.4%,24,f,0,,INDIVIDUAL,0,633.0,95440.0,False
